classname,Accuracy
bottle,0.814
capsule,0.2933
carpet,0.4677
leather,0.5556
pill,0.4271
transistor,0.6071
tile,0.9825
cable,0.6562
zipper,0.6707
toothbrush,1.0
metal_nut,0.6406
hazelnut,0.9792
screw,0.2469
grid,0.35
wood,0.8571
bottle,0.814
capsule,0.2933
carpet,0.4677
leather,0.5556
pill,0.4271
transistor,0.6071
tile,0.9825
cable,0.6562
zipper,0.6707
toothbrush,1.0
metal_nut,0.6406
hazelnut,0.9792
screw,0.2469
grid,0.35
wood,0.8571
